Emp_ID,FirstName,LastName,JobTitle,BirthDate,HireDate
1,Ken,Sánchez,Chief Executive Officer,1969-01-29,2009-01-14
2,Terri,Duffy,Vice President of Engineering,1971-08-01,2008-01-31
3,Roberto,Tamburello,Engineering Manager,1974-11-12,2007-11-11
4,Rob,Walters,Senior Tool Designer,1974-12-23,2007-12-05
5,Gail,Erickson,Design Engineer,1952-09-27,2008-01-06
6,Jossef,Goldberg,Design Engineer,1959-03-11,2008-01-24
7,Dylan,Miller,Research and Development Manager,1987-02-24,2009-02-08
8,Diane,Margheim,Research and Development Engineer,1986-06-05,2008-12-29
9,Gigi,Matthew,Research and Development Engineer,1979-01-21,2009-01-16
10,Michael,Raheem,Research and Development Manager,1984-11-30,2009-05-03
11,Ovidiu,Cracium,Senior Tool Designer,1978-01-17,2010-12-05
12,Thierry,D'Hers,Tool Designer,1959-07-29,2007-12-11
13,Janice,Galvin,Tool Designer,1989-05-28,2010-12-23
14,Michael,Sullivan,Senior Design Engineer,1979-06-16,2010-12-30
15,Sharon,Salavaria,Design Engineer,1961-05-02,2011-01-18
16,David,Bradley,Marketing Manager,1975-03-19,2007-12-20
17,Kevin,Brown,Marketing Assistant,1987-05-03,2007-01-26
18,John,Wood,Marketing Specialist,1978-03-06,2011-02-07
19,Mary,Dempsey,Marketing Assistant,1978-01-29,2011-02-14
20,Wanida,Benshoof,Marketing Assistant,1975-03-17,2011-01-07
21,Terry,Eminhizer,Marketing Specialist,1986-02-04,2009-03-02
22,Sariya,Harnpadoungsataya,Marketing Specialist,1987-05-21,2008-12-12
23,Mary,Gibson,Marketing Specialist,1962-09-13,2009-01-12
24,Jill,Williams,Marketing Specialist,1979-06-18,2009-01-18
25,James,Hamilton,Vice President of Production,1983-01-07,2009-02-03
26,Peter,Krebs,Production Control Manager,1982-11-03,2008-12-01
27,Jo,Brown,Production Supervisor - WC60,1956-10-08,2008-02-27
28,Guy,Gilbert,Production Technician - WC60,1988-03-13,2006-06-30
29,Mark,McArthur,Production Technician - WC60,1979-09-25,2009-01-23
30,Britta,Simon,Production Technician - WC60,1989-09-28,2009-01-29
31,Margie,Shoop,Production Technician - WC60,1986-05-20,2009-01-04
32,Rebecca,Laszlo,Production Technician - WC60,1977-07-10,2008-12-29
33,Annik,Stahl,Production Technician - WC60,1976-12-26,2008-12-17
34,Suchitra,Mohan,Production Technician - WC60,1987-06-10,2009-02-16
35,Brandon,Heidepriem,Production Technician - WC60,1977-01-10,2009-02-08
36,Jose,Lugo,Production Technician - WC60,1984-07-31,2009-02-10
37,Chris,Okelberry,Production Technician - WC60,1986-08-07,2009-03-07
38,Kim,Abercrombie,Production Technician - WC60,1966-12-14,2010-01-16
39,Ed,Dudenhoefer,Production Technician - WC60,1971-09-11,2010-02-05
40,JoLynn,Dobney,Production Supervisor - WC60,1956-01-16,2007-12-26
41,Bryan,Baker,Production Technician - WC60,1973-08-27,2009-01-21
42,James,Kramer,Production Technician - WC60,1984-07-25,2008-12-27
43,Nancy,Anderson,Production Technician - WC60,1988-11-19,2009-01-02
